completion_time,spatial_errors,target_distance
1680.00, 13.27,2
1660.00, 5.69,2
1100.00, 0.04,1
1220.00, 4.21,1
1840.00, 2.21,3
1020.00, 4.11,1
1300.00, 7.99,1
1320.00, 0.11,2
1420.00, 1.66,2
1080.00, 3.10,1
780.00, 0.00,0
780.00, 0.00,0
1560.00, 9.72,2
1700.00, 0.00,3
820.00, 0.00,0
1420.01, 2.45,3
1120.00, 3.14,1
1380.00, 16.00,3
1940.00, 19.21,3
2280.00, 4.37,3
980.00, 3.25,2
1000.00, 0.00,0
1540.00, 7.00,1
740.01, 0.00,0
1860.00, 0.00,2
740.00, 1.20,0
700.01, 0.58,0
1180.00, 0.00,0
1160.00, 4.98,1
1860.00, 3.51,3
2200.00, 4.58,3
780.00, 0.00,0
1540.00, 18.98,2
1500.00, 5.82,3
1500.00, 2.54,2
1680.00, 9.64,1
1379.99, 0.58,2
920.01, 0.00,1
699.99, 0.41,0
860.00, 2.70,0
920.00, 1.41,0
1359.99, 0.96,2
1480.00, 0.00,3
1220.00, 0.00,2
1340.00, 0.00,3
1339.99, 0.00,3
1079.99, 0.00,1
1100.00, 1.18,2
1020.00, 0.29,1
1299.99, 1.98,3
1039.99, 0.32,2
1340.02, 5.80,1
1040.00, 3.05,1
1780.02, 0.00,3
2000, 0.00,2
660.00, 2.52,0
899.99, 2.42,1
1259.99, 0.77,3
659.99, 0.68,0
1080.01, 0.58,3
1280.00, 3.90,2
980.02, 1.94,3
859.99, 2.79,2
1020.00, 3.39,0
1559.99, 4.38,2
959.99, 0.00,1
720.00, 0.37,0
660.00, 0.00,0
980.00, 0.11,1
780.01, 0.30,0
1000.00, 0.00,1
1280.00, 0.00,3
1660.01, 22.49,3
1200.02, 0.00,0
1640.01, 0.00,3
800.01, 0.00,0
1559.99, 6.38,2
900.00, 0.00,0
1479.99, 11.83,2
1640.00, 8.24,2
919.99, 0.47,0
1120.02, 4.79,1
1559.99, 16.42,3
2000, 7.40,2
2100.00, 3.23,3
940.00, 2.09,1
1140.00, 4.36,1
1000.00, 0.00,0
1120.00, 1.10,1
1480.00, 2.69,2
1560.01, 19.40,3
2000, 0.00,3
1599.99, 14.31,3
760.00, 0.00,0
2280.01, 4.61,3
1279.99, 9.09,2
1519.99, 1.15,2
1539.98, 14.97,2
940.02, 3.04,1
1540.00, 8.22,3
1100.01, 4.61,1
920.00, 2.12,1
619.98, 0.88,0
1199.98, 29.62,1
999.99, 0.00,0
1120.00, 3.80,1
1680.00, 6.33,2
700.00, 0.00,0
1679.98, 16.04,1
2200.02, 49.02,2
1119.99, 8.73,1
1779.99, 0.25,2
659.98, 0.00,0
1160.00, 19.24,2
720.00, 0.56,0
1479.98, 16.81,2
820.00, 0.78,0
740.03, 0.00,0
1119.99, 10.61,3
1140.02, 0.86,2
1400.04, 10.06,1
1120.00, 11.28,2
1520.03, 9.42,3
739.98, 0.43,0
740.03, 0.00,0
840.00, 1.86,1
1260.01, 13.38,1
1560.00, 49.93,3
1280.01, 1.90,2
1740.01, 18.71,3
1160.01, 2.58,1
1639.99, 7.07,2
1520.03, 13.84,2
720.01, 0.69,0
1579.98, 10.35,1
1160.00, 3.02,3
739.99, 0.00,0
1420.01, 22.06,3
1519.98, 7.55,3
1220.00, 4.41,1
1440.00, 0.86,3
1520.03, 23.22,3
680.04, 1.14,0
1560.01, 23.61,1
1080.03, 1.63,3
1139.98, 4.09,2
1439.99, 2.65,2
2059.99, 5.10,3
1419.99, 1.81,2
719.99, 0.00,0
739.98, 0.00,0
1160.01, 4.25,1
1560.04, 1.58,2
1459.98, 12.22,3
979.98, 0.00,1
599.98, 0.00,0
2020.01, 7.41,2
1599.98, 2.44,3
720.00, 0.00,0
979.98, 1.70,1
1259.98, 3.62,1
900.03, 3.34,1
1080.03, 3.08,3
1780.01, 24.39,2
820.02, 3.06,1
1239.99, 0.57,3
1459.98, 10.32,2
1380.02, 0.10,2
1119.99, 0.00,1
1460.03, 4.72,2
779.99, 0.00,0
680.01, 0.00,0
1139.98, 3.95,1
1059.99, 2.39,1
1920.00, 5.40,3
640.02, 0.00,0
1880.02, 6.16,3
1100.01, 2.76,3
799.99, 0.00,0
720.00, 1.54,0
1299.98, 11.82,2
720.00, 0.00,0
1180.03, 0.00,1
1679.98, 0.83,2
680.00, 0.46,0
1119.98, 2.68,1
1420.02, 15.94,3
1359.98, 17.87,3
1179.98, 1.74,2
1560.04, 10.78,2
1359.99, 11.90,3
699.98, 0.00,0
720.00, 1.03,0
1099.99, 0.14,1
1580.03, 0.00,1
840.02, 1.27,1
1280.03, 12.32,2
740.05, 0.00,0
1199.96, 1.06,0
1820.01, 0.77,3
1960.00, 27.75,3
1659.97, 1.63,3
719.97, 0.00,0
1740.07, 5.36,3
1139.99, 1.46,1
2000, 6.36,2
2359.96, 38.26,3
780.01, 0.91,0
1200.01, 1.63,1
819.96, 0.00,1
1320.02, 16.30,2
1860.00, 25.16,2
1059.97, 0.70,1
900.00, 0.14,0
2159.96, 32.94,3
1260.04, 4.04,2
2299.97, 7.97,3
1359.99, 9.02,2
1900.01, 2.12,3
1080.04, 1.25,2
1120.03, 0.00,1
1280.05, 10.28,3
999.98, 0.00,1
1200.02, 7.21,2
680.07, 2.74,0
1240.00, 0.00,1
719.98, 0.00,0
2000, 9.77,3
1339.97, 7.80,3
1079.99, 2.40,2
659.97, 0.00,0
1219.96, 0.62,2
1420.07, 2.28,3
1239.98, 0.00,1
880.00, 2.97,0
1059.97, 1.70,2
2199.99, 3.20,3
1119.97, 1.00,1
3240.00, 5.09,3
919.98, 0.00,0
679.99, 0.23,0
1080.01, 0.28,1
680.00, 0.00,0
2239.97, 25.36,3
1340.00, 0.00,1
1739.98, 5.77,2
1460.01, 3.49,2
679.98, 0.00,0
719.96, 0.00,0
1120.02, 0.00,1
999.99, 1.37,2
959.98, 0.00,1
1659.99, 18.03,0
1979.97, 86.84,3
640.05, 0.00,0
1539.97, 4.97,3
1700.01, 6.21,3
1939.98, 12.62,1
1459.96, 38.03,2
1459.96, 34.08,3
640.04, 0.00,0
1420.06, 21.49,1
1079.96, 13.18,1
1259.98, 6.11,3
1099.98, 11.67,1
1099.96, 10.33,1
879.96, 0.89,0
700.03, 0.00,0
1019.96, 11.64,1
679.99, 1.21,0
1320.00, 30.72,2
840.05, 0.91,0
1700.02, 10.77,3
979.98, 11.17,2
659.95, 1.98,0
1560.01, 22.35,2
999.99, 6.14,2
700.04, 0.00,0
1379.95, 5.88,3
1119.99, 7.04,2
1699.96, 21.30,3
1039.97, 10.51,1
999.99, 5.27,2
1279.98, 20.44,2
1560.02, 7.63,2
1500.02, 1.12,3
1020.00, 11.34,1
1239.96, 1.15,1
2899.96, 0.00,2
1499.99, 0.21,2
1140.00, 0.00,1
1300.08, 7.06,2
619.97, 0.00,0
2679.97, 2.90,3
1080.04, 0.00,1
2079.99, 0.00,3
1719.97, 0.00,3
1800.07, 8.47,2
900.05, 0.00,1
640.00, 0.00,0
1499.98, 2.40,3
899.97, 2.59,0
739.97, 0.00,0
1340.04, 0.00,2
1100.06, 0.00,1
899.98, 0.00,1
759.98, 0.00,0
2000, 0.23,3
740.07, 0.00,0
659.98, 1.65,0
880.03, 0.00,0
940.00, 0.00,1
879.98, 0.00,1
799.99, 1.84,1
1679.99, 2.75,3
1100.05, 2.02,2
1659.99, 8.65,3
1419.99, 0.00,1
1440.01, 5.58,2
679.97, 0.00,0
1839.96, 8.24,2
2020.00, 0.00,3
1339.98, 10.91,3
1100.05, 0.14,2
699.95, 0.00,0
1419.97, 8.93,1
960.05, 1.56,1
1519.99, 40.13,3
739.99, 0.00,0
919.96, 0.00,1
2180.02, 16.23,2
1099.98, 3.96,2
1479.97, 21.99,2
2100.05, 5.15,3
2020.05, 0.21,3
859.98, 0.00,0
1440.01, 13.46,2
1440.01, 22.60,3
2200.01, 4.14,2
1020.05, 0.00,1
1039.98, 0.63,1
700.04, 0.88,0
659.97, 0.00,0
1779.97, 2.85,3
1580.01, 1.08,3
680.02, 0.00,0
659.97, 0.00,0
1979.96, 6.53,3
1200.00, 0.00,0
1320.03, 8.84,2
1180.00, 2.55,3
999.98, 2.53,1
979.99, 0.08,1
999.99, 3.43,2
1220.01, 13.02,2
1020.01, 0.00,1
1039.97, 1.05,1
1620.01, 4.83,2
1320.02, 9.52,3
699.99, 0.00,0
1299.99, 0.00,1
1060.03, 0.00,1
1360.01, 1.55,3
679.91, 0.98,0
940.00, 1.03,1
599.94, 3.32,0
2659.92, 0.00,3
1180.11, 0.59,2
819.92, 0.00,1
740.04, 0.00,0
899.93, 5.09,0
1260.07, 1.33,1
960.14, 0.00,1
2359.97, 0.00,3
679.95, 2.43,0
1240.05, 0.66,2
1059.92, 0.00,2
939.96, 0.00,2
1319.98, 7.77,3
1080.13, 0.59,1
1000.03, 2.67,2
1060.01, 0.97,2
1360.15, 0.00,3
3300.03, 4.16,3
1819.95, 0.00,3
1980.04, 6.52,3
799.92, 3.10,0
2759.98, 0.00,3
1960.15, 0.00,3
1160.08, 0.00,0
1020.06, 0.00,0
1079.95, 0.79,1
1699.92, 0.00,3
1020.02, 0.00,1
639.98, 0.72,0
1720.13, 2.54,2
819.91, 0.00,1
1140.01, 1.12,1
799.93, 0.00,1
939.93, 0.17,1
1179.93, 5.56,2
639.91, 1.69,0
779.91, 3.53,0
1039.98, 0.00,2
1179.95, 4.56,2
1539.94, 0.00,2
679.93, 0.96,0
1520.01, 4.07,1
2120.00, 16.11,3
1279.98, 0.00,3
679.95, 0.41,0
1219.93, 9.98,3
680.00, 0.81,0
1860.00, 16.70,3
620.04, 0.00,0
1260.04, 7.90,2
1380.05, 4.61,3
1319.94, 1.34,2
1600.00, 7.18,2
900.00, 0.00,1
1019.91, 0.00,1
939.92, 1.76,1
1039.98, 0.00,2
679.93, 0.78,0
899.92, 0.00,1
820.11, 0.34,1
680.02, 0.77,0
720.13, 0.08,0
940.01, 2.75,2
1020.00, 0.00,1
1039.98, 2.70,1
1140.00, 3.57,2
640.01, 1.01,0
1020.06, 0.00,2
659.91, 1.64,0
1219.96, 0.00,2
1879.95, 0.73,3
1140.07, 9.36,3
1320.01, 2.76,3
1280.09, 2.99,1
880.07, 1.43,2
1359.96, 6.98,3
899.92, 0.78,0
640.02, 0.00,0
1459.92, 41.91,1
640.05, 0.97,0
1459.96, 55.19,2
1059.96, 17.78,3
1580.14, 53.68,2
720.13, 0.00,0
1379.97, 26.99,3
980.04, 4.03,1
1219.92, 38.41,2
2000, 10.68,3
1060.02, 3.87,1
1520.02, 4.81,2
679.94, 0.00,0
2000, 2.53,1
900.01, 0.00,0
759.97, 0.00,0
959.96, 5.63,1
2079.93, 37.56,3
1259.98, 1.22,3
679.95, 0.00,0
1139.97, 8.04,3
1279.92, 31.80,3
1140.08, 16.61,2
1360.00, 2.16,2
1199.93, 7.47,1
740.01, 0.00,0
1199.97, 12.15,1
1199.92, 7.42,1
1760.00, 12.98,3
1099.92, 24.93,2
1279.93, 7.82,2
1140.01, 6.62,1
1340.15, 15.80,2
2000, 6.67,3
699.97, 2.05,0
979.92, 11.41,0
1099.93, 24.48,1
1660.08, 18.78,1
720.15, 0.00,0
939.95, 1.12,0
1000.00, 9.14,1
1180.02, 20.53,2
1440.10, 40.47,3
1519.97, 45.63,2
1599.99, 1.32,3
1159.90, 2.52,3
1180.01, 14.01,2
1499.98, 22.27,2
1699.93, 18.25,2
1060.02, 11.47,3
1059.92, 16.12,2
940.09, 7.42,1
1080.02, 9.53,1
940.01, 0.52,1
919.93, 0.29,2
619.98, 0.41,0
979.95, 7.54,3
1079.96, 4.81,2
1160.10, 20.12,1
1080.13, 12.45,3
999.96, 4.91,1
1519.91, 7.29,3
1480.03, 22.27,3
1099.92, 0.79,1
919.92, 0.69,0
860.14, 2.73,0
1079.95, 3.75,2
2000, 5.75,0
739.97, 0.57,0
1280.00, 17.99,3
1339.98, 0.00,0
1120.04, 0.08,2
1119.94, 0.00,2
959.90, 0.00,1
1179.91, 0.62,1
660.08, 0.00,0
599.98, 0.00,0
919.92, 2.44,1
1059.91, 0.00,2
1219.97, 0.00,1
1060.09, 0.15,2
959.97, 1.18,1
639.97, 0.91,0
1279.91, 0.31,3
1300.01, 0.00,3
859.96, 0.00,1
1080.11, 0.00,2
1039.91, 4.07,2
859.98, 0.70,1
2000, 0.36,3
939.92, 1.43,0
699.91, 1.12,0
659.91, 0.52,0
1259.98, 1.09,1
1140.00, 0.26,2
2139.99, 0.00,3
1099.94, 0.41,2
659.93, 0.00,0
1019.97, 0.12,3
1880.01, 11.52,3
620.01, 1.65,0
1359.96, 2.20,3
979.97, 0.67,2
1379.98, 7.59,3
860.14, 2.51,1
1479.95, 5.13,3
1380.06, 13.84,2
1400.01, 18.50,3
1499.98, 13.51,1
979.98, 1.69,0
1439.91, 10.42,1
1239.97, 9.16,2
920.07, 0.00,0
1059.95, 3.44,0
1320.12, 5.48,2
1219.95, 2.44,2
760.07, 0.00,0
639.91, 0.00,0
1879.96, 0.60,3
1200.13, 7.82,3
1480.14, 27.56,3
2000, 36.95,2
800.11, 0.95,0
1459.95, 2.51,3
959.94, 5.18,3
900.08, 1.50,1
1199.95, 11.85,1
979.94, 3.83,1
680.11, 0.24,0
679.91, 0.92,0
1379.95, 1.21,3
1039.91, 1.05,2
1039.92, 10.38,1
1059.92, 4.03,1
1660.07, 12.59,2
699.95, 1.60,0
1159.98, 22.04,2
2040.01, 11.64,3
999.97, 0.25,1
1359.96, 0.00,3
1119.94, 13.59,2
800.08, 2.04,1
1160.01, 0.17,2
599.92, 0.24,0
619.96, 1.90,0
579.97, 0.00,0
1280.01, 0.00,2
1199.90, 0.00,2
1439.91, 0.00,3
799.94, 2.43,1
1639.99, 0.00,3
800.10, 0.00,1
900.01, 0.79,2
1399.99, 0.00,2
1279.99, 1.52,1
1199.91, 0.97,3
860.14, 0.58,1
3139.98, 0.00,3
2000, 0.00,3
939.94, 0.00,2
659.97, 0.72,0
2300.07, 1.69,3
859.87, 0.00,1
1359.88, 4.96,3
1479.89, 6.09,2
1239.96, 3.14,2
879.83, 0.00,1
980.01, 4.65,2
1740.05, 5.72,2
1059.94, 0.00,2
879.83, 3.37,0
1079.84, 0.00,1
1640.24, 0.00,3
580.07, 2.71,0
1259.83, 0.00,1
2000, 11.16,3
859.99, 3.06,0
1339.97, 8.24,3
1060.15, 0.47,1
999.95, 2.38,2
1400.25, 7.65,2
1839.83, 6.04,2
1659.89, 5.02,3
700.32, 0.65,0
720.31, 1.51,0
1400.07, 4.57,2
679.94, 0.00,0
779.92, 0.00,1
1019.99, 0.00,1
1340.19, 2.50,3
779.94, 1.06,0
1020.13, 0.08,1
1439.85, 0.00,3
880.04, 0.00,1
620.00, 1.91,0
1419.94, 3.37,3
2779.94, 0.00,3
1119.88, 0.00,1
919.91, 4.34,0
900.24, 0.00,1
1760.01, 142.76,2
1200.32, 54.54,1
1800.07, 59.89,2
1460.00, 18.02,1
1060.01, 40.36,2
1220.31, 3.36,0
1139.91, 7.43,0
640.25, 1.93,0
1780.15, 112.91,3
1139.84, 66.84,3
1260.13, 52.53,2
939.89, 18.95,1
980.05, 2.30,0
1279.97, 37.66,3
959.96, 16.21,2
1239.94, 19.85,2
1019.93, 19.07,1
1180.29, 15.57,1
1040.07, 6.34,0
1119.83, 40.22,3
2000, 23.65,2
1399.92, 4.02,3
1659.92, 54.73,3
619.94, 0.38,0
1100.22, 9.34,1
1339.83, 14.43,2
1020.05, 6.14,0
2000, 14.06,1
1080.06, 29.47,3
640.25, 0.35,0
859.88, 3.51,1
1099.83, 12.23,1
2000, 14.27,3
1499.99, 29.46,2
1499.94, 21.29,3
960.01, 1.27,0
1560.04, 3.48,2
759.91, 1.31,1
1720.31, 13.71,1
620.23, 2.75,0
1020.10, 12.71,1
939.87, 1.75,3
1399.84, 3.79,2
1399.94, 35.07,3
740.04, 1.35,0
859.89, 4.37,0
900.26, 4.65,0
659.97, 0.91,0
1479.96, 29.40,3
1100.21, 10.70,1
1499.93, 8.75,1
839.82, 2.87,0
960.29, 4.09,1
1199.96, 3.42,3
660.23, 1.54,0
899.82, 0.00,0
1260.02, 11.37,2
1039.92, 16.68,1
979.91, 8.24,2
2219.87, 36.25,3
959.90, 5.79,1
1239.94, 13.88,2
899.91, 0.82,2
1559.94, 23.95,2
699.90, 0.00,0
1219.87, 4.37,3
1159.87, 3.45,3
1239.97, 18.48,3
1039.83, 10.11,2
1179.99, 23.23,3
960.08, 5.35,1
1039.83, 3.15,2
739.89, 1.44,1
1199.91, 0.73,3
1000.04, 4.57,1
1480.30, 4.66,3
759.92, 0.00,0
1659.93, 1.79,3
999.93, 2.04,2
859.84, 4.38,1
639.82, 0.83,0
679.89, 0.00,0
1480.03, 5.81,2
1559.87, 4.66,2
1199.83, 19.29,2
799.85, 0.85,1
700.27, 0.81,0
1140.24, 3.84,2
839.84, 0.00,0
1199.97, 4.18,2
740.07, 1.42,0
639.85, 0.00,0
1059.83, 0.41,1
639.92, 0.30,0
1459.96, 6.77,2
1200.28, 9.53,1
779.93, 0.00,2
1120.02, 0.18,3
640.23, 2.05,0
799.96, 0.01,1
1439.83, 4.38,3
1320.14, 20.47,3
1060.13, 3.44,2
1239.98, 0.00,3
1000.11, 0.92,3
1099.99, 11.52,3
1060.02, 11.36,1
860.03, 1.90,1
1219.97, 5.72,2
839.90, 1.29,1
1000.04, 0.00,1
840.18, 0.09,1
1420.26, 18.52,2
2679.89, 9.47,3
960.02, 2.00,1
900.26, 1.36,1
619.91, 1.13,0
1480.03, 7.08,3
1339.98, 0.99,3
959.94, 2.02,2
1239.91, 9.64,2
1459.96, 12.57,2
820.06, 0.00,0
1199.94, 5.21,2
2000, 0.25,2
1359.92, 4.87,3
1099.82, 3.06,1
660.24, 0.00,0
999.94, 4.86,3
880.04, 0.00,0
679.92, 0.00,0
1279.92, 6.26,2
960.01, 1.36,1
720.07, 0.78,0
959.92, 2.81,0
1499.91, 5.59,3
1059.99, 4.70,2
679.84, 0.00,0
940.28, 0.00,0
1399.94, 1.53,3
1340.03, 2.45,3
2000, 9.79,3
960.08, 2.02,1
939.84, 3.67,1
1239.92, 51.16,1
1519.93, 132.23,3
1319.99, 26.52,1
719.99, 0.65,0
2499.90, 60.92,2
880.23, 2.86,0
1200.07, 29.88,1
1379.82, 9.36,2
1360.02, 33.78,3
1279.94, 11.23,1
1360.04, 2.26,3
1800.01, 47.51,3
1019.93, 3.48,3
1140.23, 14.15,1
1199.88, 29.57,3
880.06, 2.46,0
